Shipment#,Sales,Operations,Carrier legalName,Carrier displayName,Nature of Goods,Considerable Charging Unit,Origin Port,Commodity,Destination Port,isHouseholdGoods,isUsedGoods,isHazardous,isPerishable,isVehicle,Origin State,Destination State,Destination country,createdDate,shipmentStatus
MAT240058,Ethan Baker,Michael Miller,British Airways,British Airways / SFO *,Other,260517,MIA,"Mielle Rosemary Shampoo
",RUH,No,No,No,No,No,Florida,Riyadh,Saudi Arabia,2024-01-03T13:12:30.688Z,Released
MAT240899,Evelyn Walker,Michael Miller,Air Canada Cargo,Air Canada Cargo *,General,38653,SEA,REBUILT M8610AR ALLISON TRANSMISSION,DXB,No,No,No,No,No,Washington,Al Garhoud,United Arab Emirates,2024-02-08T17:01:09.886Z,Released
MAT232844,Evelyn Martin,Benjamin Lee,Mercury Air Cargo,Mercury World Cargo,General,115076,LAX,Essential Oils ,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-04-24T20:32:47.578Z,Completed
MAT236290,Evelyn Martin,Michael Miller,Air France KLM Martinair Cargo,Air France KLM Martinair Cargo *,Other,28466,LAX,Essential Oils ,JIB,No,No,No,No,No,California,Djibouti Region,Djibouti,2023-09-25T18:14:37.439Z,Completed
MAT231393,Benjamin Lewis,Alexander Carter,China Airlines Cargo,China Airlines Cargo / SFO *,Other,238935,MIA,"GROCERIES PRODUCTS

// CARGO TRANSIT VIA HO CHI MINH
CITY AIRPORT TO CAMBODIA BY
TRUST BY CONSIGNEE’S AT CARGO’S
COST AND RISK //

NO EEI SEC. 30.37 (A)

LITHIUM ION BATTERIES IN
COMPLIANCE WITH SECTION II OF PI
967

SFO.C.12.27.2017.037
CARGO SCREENED AT 100%",SGN,No,No,No,No,No,Florida,Thái Bình,Vietnam,2023-02-28T22:04:49.384Z,Completed
MAT237413,Blake Garcia,Lucas Lewis,Air Canada Cargo,Air Canada Cargo *,Other,97107,LAX,E-Liquid,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-11-20T07:50:42.081Z,Released
MAT213290,Aurora Patel,Mia Garcia,Emirates Sky Cargo,Emirates Sky Cargo / SFO *,Other,101522,PHL,liquid - non-hazardous,DMM,No,No,No,No,No,Pennsylvania,Dammam,Saudi Arabia,2021-06-22T12:23:45.513Z,Completed
MAT231986,Blake Garcia,Benjamin Lee,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,Other,150301,LAX,cosmetics,DMM,No,No,No,No,No,California,Dammam,Saudi Arabia,2023-03-21T13:24:23.958Z,Completed
MAT236205,Blake Garcia,Ethan Wright,Turkish Airlines,Turkish Airlines / JFK*,Other,150154,MIA,Gifts,HAN,No,No,No,No,No,Florida,Hà Nội,Vietnam,2023-09-21T09:08:30.753Z,Completed
MAT222805,Blake Garcia,Evelyn Jones,DHL Aviation Americas,DHL Aviation Americas / SFO *,Household/Personal Goods,118310,IAH,Personal effects,LOS,Yes,No,No,No,No,Texas,Anambra,Nigeria,2022-05-19T08:56:49.782Z,Completed
MAT233026,Alexander Young,Benjamin Lee,Turkish Airlines,Turkish Airlines / JFK*,Other,254700,MIA,Vit D Capsules Bottle of 300 Capsules,KWI,No,No,No,Yes,No,Florida,Farwaniya,Kuwait,2023-05-02T17:36:38.409Z,Completed
MAT213107,Aurora Patel,Charlotte Jackson,Silk Way Airlines,Silk Way Airlines,Other,266484,LAX,Materials: makeup - Non HAZ,EBL,No,No,No,No,No,California,Kurdistan,Iraq,2021-06-15T16:01:39.615Z,Completed
MAT241731,Lucas Thompson,Ava Garcia,British Airways,British Airways / SFO *,Other,178421,JFK,Used Laptops With ELI / LITHIUM-ION BATTERIES IN COMPLIANCE WITH SECTION II OF PI 970 UN#3481,DXB,No,No,No,No,No,New York,Al Garhoud,United Arab Emirates,2024-03-15T09:57:26.129Z,Released
MAT233723,Evelyn Martin,Benjamin Lee,Mercury Air Cargo,Mercury World Cargo,Other,107563,LAX,Essential Oils ,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-05-30T19:30:31.853Z,Completed
MAT227115,Lucas Thompson,Benjamin Lee,British Airways,British Airways/SFO *,General,212501,IAH,Carbowax/Methoxypolyethylene Glycol 350/Polyethylene Glycol 600 NF/Macrogol 600 Ph. Eur. 500,BOM,No,No,No,No,No,Texas,Maharashtra,India,2022-11-28T14:41:19.534Z,Completed
MAT232296,Alexander Young,Benjamin Lee,British Airways,British Airways/SFO *,Other,103215,LAX,"Essential Oils

",BAH,No,No,No,No,No,California,,Bahrain,2023-03-31T13:57:42.722Z,Completed
MAT210244,Chloe Anderson,Liam Hernandez,Qatar Airways,Qatar Airways / LAX *,Other,59974,IAH,General Cargo,BOM,No,No,No,No,No,Texas,Maharashtra,India,2021-01-13T17:38:39.469Z,Completed
MAT237697,Benjamin Lewis,Zoe Brown,Qatar Airways,Qatar Airways / LAX*,Other,206809,IAD,"BAGS, SHOES,
HOME ACCESSORIES,",EBL,No,No,No,No,No,District of Columbia,Kurdistan,Iraq,2023-12-02T22:57:21.019Z,Released
MAT240176,Maya Davis,Noah Patel,Etihad Airways,Etihad Airways / LAX *,General,48419,JFK,Cosmetics,DXB,No,No,No,No,No,New York,Al Garhoud,United Arab Emirates,2024-01-09T19:43:13.877Z,Released
MAT234959,Blake Garcia,Noah Patel,Qatar Airways,Qatar Airways / LAX *,Other,259799,LAX,Auto Parts,BOM,No,No,No,No,No,California,Maharashtra,India,2023-07-26T09:32:59.358Z,Completed
MAT212566,Ethan Baker,Daniel Young,Air India,Air India / SFO *,Other,50860,SFO,Oxygen concentratrors,HYD,No,No,No,No,No,California,Andhra Pradesh,India,2021-05-21T16:14:13.714Z,Completed
MAT240050,Riley Lopez,Ethan Wright,All Nippon Airways ,All Nippon Airways / LAX *,General,76620,BOS,"“COMMUNICATION CONTROL UNIT, STATIONARY ELECTRONIC SIRENS AND SOLAR FOR HPSS”
",MNL,No,No,No,No,No,Massachusetts,Metro Manila,Philippines,2024-01-03T09:07:32.678Z,Released
MAT227715,Blake Garcia,Benjamin Lee,Air India,Air India / SFO *,General,94211,SFO,Bond Maintenance Shampoo,DEL,No,No,No,No,No,California,Punjab,India,2022-12-20T19:56:39.543Z,Completed
MAT221118,Matthew Johnson,Luna Miller,Qatar Airways,Qatar Airways / LAX *,Other,225549,SFO,Irrigation Equipment,RUH,No,No,No,No,No,California,Riyadh,Saudi Arabia,2022-02-22T19:28:56.615Z,Completed
MAT233752,Evelyn Martin,Benjamin Lee,British Airways,British Airways/SFO *,Other,254549,LAX,Essential Oils,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-05-31T17:08:18.330Z,Completed
